Category,Product
"Agricultural Commodities (Pulses & Grains)","Chana Dal (Split Chickpeas)"
"Agricultural Commodities (Pulses & Grains)","Kabuli Chickpeas"
"Agricultural Commodities (Pulses & Grains)","Desi Chickpeas"
"Agricultural Commodities (Pulses & Grains)","Pigeon Peas (Toor / Arhar Dal)"
"Agricultural Commodities (Pulses & Grains)","Green Gram (Moong Dal)"
"Agricultural Commodities (Pulses & Grains)","Kidney Beans (Rajma – Light & Dark)"
"Animal & Poultry Feed","Yellow Maize (Corn)"
"Fresh Vegetables","Fresh Onions"
"Fresh Vegetables","Fresh Potatoes"
"Fresh Vegetables","Fresh Ginger"
